food_item,image_found,image_processed,uploaded,drive_link
Chicken Tandoori,True,True,True,https://drive.google.com/file/d/1fJRQqJLnloIEcYLjvjl_SeMwubD6FwrE/view?usp=drivesdk
Veg Fried Rice,True,True,True,https://drive.google.com/file/d/1cqrJXhpe64m_F6ebmj8a5nfUWdUPvwgw/view?usp=drivesdk
Chicken Biryani Boneless,True,True,True,https://drive.google.com/file/d/1Cq7X5NbLdWgiy0wC4qD4ffmZ1G3YViRj/view?usp=drivesdk
Butter Roti,True,True,True,https://drive.google.com/file/d/1FxxxVwJ8voCi3TrSvb5bpTbDOBGkNtr4/view?usp=drivesdk
Paneer Tikka Masala,True,True,True,https://drive.google.com/file/d/1MvtFxVOTHPV3km7J0s_vDbKZkJHfqEJR/view?usp=drivesdk
Chicken Fried Rice,True,True,True,https://drive.google.com/file/d/1svUm6p26Fl9DRALz7fGaEB7tGamtEZvu/view?usp=drivesdk
Veg Triple Schezwan Fried Rice,True,True,True,https://drive.google.com/file/d/1aF_OtxoU16BmsKlWDSM7zz5eCXtwXb0b/view?usp=drivesdk
Roti,True,True,True,https://drive.google.com/file/d/1NAkepXfbxmpT_SwfTQGb6iHNWqSrz9wB/view?usp=drivesdk
Chicken Tandoori [Half],True,True,True,https://drive.google.com/file/d/1RXn9WB-tVrnD0cNHhKE0nRRuP5_JKoZc/view?usp=drivesdk
Dal Khichdi Tadka,True,True,True,https://drive.google.com/file/d/1FDut7H8fySxW1hHaftaOGMkyoOr0d0gc/view?usp=drivesdk
Chicken Triple Fried Rice,True,True,True,https://drive.google.com/file/d/1zm2US9fyapReCn2KeKQOIbIk74fXopsX/view?usp=drivesdk
Chicken Lollipop,True,True,True,https://drive.google.com/file/d/1DlrsiSFP9nLMW2OqGx295pLLIayAkMNB/view?usp=drivesdk
Naan,True,True,True,https://drive.google.com/file/d/1SdITFyHbh7gHu6Q8WOAczoNotawQlj8p/view?usp=drivesdk
Chicken Chilli Chicken Kala Masala,True,True,True,https://drive.google.com/file/d/1HbsNtcPmQkevCY_wriCmoDmWgeop4c53/view?usp=drivesdk
Dal Tadka,True,True,True,https://drive.google.com/file/d/11ioRTgc48lCx5bmG2v_WX2hGWIe_jxN4/view?usp=drivesdk
Paneer Crispy,True,True,True,https://drive.google.com/file/d/1d30wmdpZqqTD-iU7iLeBZUTnrDci9Fwk/view?usp=drivesdk
Butter Naan Chicken Crispy,True,True,True,https://drive.google.com/file/d/1557PjMFxcukiiNkboO1tSK7kH3oz4H-X/view?usp=drivesdk
Chicken Masala Boneless,True,True,True,https://drive.google.com/file/d/1kfZHNruSk-kWR9y6jhssGolpUbL76Dcd/view?usp=drivesdk
Chicken Tandoori (Half),True,True,True,https://drive.google.com/file/d/1jO5ZH0mXqN0eitKRhN_1iy8WFT4Nfq6y/view?usp=drivesdk
Veg Handi,True,True,True,https://drive.google.com/file/d/1NgiwjP5aSiVxMGgDRKNe5QUCv9by-eh1/view?usp=drivesdk
Veg Dum Biryani,True,True,True,https://drive.google.com/file/d/1KZSVjbcNXG0N9gM3jad5ys01UnZZxdvv/view?usp=drivesdk
Chicken Tikka Biryani,True,True,True,https://drive.google.com/file/d/1dTgQ5zY_O05bJ1nLD8i540pRCpb_U49N/view?usp=drivesdk
Veg Manchurian,True,True,True,https://drive.google.com/file/d/1IQ61-tn7KBpUMinEHoSv_qWcGjCzGjcN/view?usp=drivesdk
Kulcha,True,True,True,https://drive.google.com/file/d/1BpzLrsOlt4hoOgNGAkp95vhol31VbrH9/view?usp=drivesdk
Veg Kolhapuri,True,True,True,https://drive.google.com/file/d/15ELMVKEskg1VY_f7yftZV76XZV_0aaDe/view?usp=drivesdk
Chicken Schezwan Fried Rice,True,True,True,https://drive.google.com/file/d/1UkecMt8bnniOC9BamOp554-kbtMPNFYb/view?usp=drivesdk
Paneer Kolhapuri,True,True,True,https://drive.google.com/file/d/1QxFvrhQ83HuhGcAhL6_FEzm_Kt7steQW/view?usp=drivesdk
Paneer Makhanwala,True,True,True,https://drive.google.com/file/d/14K53ZewG9MiaFvFACLr6GcGPPk5fW6cG/view?usp=drivesdk
Chicken KL Special Soup,True,True,True,https://drive.google.com/file/d/1RcCX-cMI_EFb3NCBpiMYDO66un53BjPn/view?usp=drivesdk
Chicken Lollipop Tandoori,True,True,True,https://drive.google.com/file/d/1Y3EOejRZHmVce-mTfjHxXBeJvgq36BD2/view?usp=drivesdk
Jeera Rice,True,True,True,https://drive.google.com/file/d/1HcsATXcpIMv9IiFf60bkC6eomAZ9ai_E/view?usp=drivesdk
Veg Manchow Soup Veg Crispy,True,True,True,https://drive.google.com/file/d/1a5RF_w0_txf-hyKyDs4BMuOvCexG7MlJ/view?usp=drivesdk
Veg Spring Roll,True,True,True,https://drive.google.com/file/d/1quQd0e0YG4ujHq5p_GCAF3UyKD2wFKID/view?usp=drivesdk
Paneer Tikka Biryani,True,True,True,https://drive.google.com/file/d/1Yf7eKH693u9rDKyDNQL80zF7CNF5-ezJ/view?usp=drivesdk
Chicken Lollipop Gravy Butter Kulcha,True,True,True,https://drive.google.com/file/d/1an_5oFv8wZB8u34ILLf5X9lzAJskqhR4/view?usp=drivesdk
Mushroom Dum Biryani,True,True,True,https://drive.google.com/file/d/1LjSAufph8JM56wNC7ccBsALQ0-3yxBjM/view?usp=drivesdk
Chicken Ghee Roast,True,True,True,https://drive.google.com/file/d/1ElpT5ptlGHZ5Q94MGOW5Axnma4Oa5ATP/view?usp=drivesdk
Chicken Tikka Masala Veg Manchurian Soup,True,True,True,https://drive.google.com/file/d/1iWsesXrup5DEdd5ot7PjwWXBx1zE6pKu/view?usp=drivesdk
Paneer Malai Tikka,True,True,True,https://drive.google.com/file/d/1TWwY9ntDKTQgWaLJbjoQSUMsxPErcXo7/view?usp=drivesdk
